Promedio_Parcial,Asistencia,Horas_Estudio,Accesos_Moodle,Tareas,Calificacion_Final,Resultado
93,91,6.3,40,7,96,Aprueba
67,90,10.4,45,7,82,Aprueba
82,100,3.6,33,7,78,Aprueba
99,87,7.2,59,7,86,Aprueba
63,76,4.7,36,9,67,Reprueba
96,100,7.8,47,10,98,Aprueba
54,78,7.5,31,9,73,Aprueba
59,69,5.2,11,3,55,Reprueba
62,73,7.3,18,5,66,Reprueba
54,74,0.9,18,8,65,Reprueba
100,100,11.3,60,10,100,Aprueba
41,75,7.6,37,8,67,Reprueba
87,100,11.0,51,10,100,Aprueba
50,79,9.4,27,6,66,Reprueba
70,82,3.5,23,8,73,Aprueba
33,57,0.0,14,7,53,Reprueba
71,89,10.5,50,5,87,Aprueba
66,86,2.6,27,6,82,Aprueba
61,87,5.7,13,7,78,Aprueba
95,92,9.2,54,10,100,Aprueba
60,97,5.2,24,6,78,Aprueba
83,93,10.7,33,9,91,Aprueba
95,100,12.7,42,9,100,Aprueba
61,74,5.3,13,4,61,Reprueba
36,66,3.3,3,4,44,Reprueba
100,100,15.4,60,10,100,Aprueba
67,81,5.6,15,7,80,Aprueba
51,67,2.7,10,4,52,Reprueba
86,84,8.9,42,9,91,Aprueba
90,100,10.0,41,10,93,Aprueba
99,100,12.7,52,10,100,Aprueba
35,50,0.0,0,3,44,Reprueba
73,78,6.8,33,10,79,Aprueba
90,89,5.8,31,8,82,Aprueba
54,73,5.3,28,4,61,Reprueba
50,67,3.0,30,3,59,Reprueba
75,82,7.0,46,7,86,Aprueba
82,88,7.0,31,8,80,Aprueba
55,81,6.9,33,3,59,Reprueba
95,90,10.6,43,9,100,Aprueba
68,71,5.2,21,7,76,Aprueba
42,70,1.8,13,6,58,Reprueba
69,88,7.3,25,7,80,Aprueba
61,65,5.1,19,7,63,Reprueba
35,68,0.0,1,5,38,Reprueba
43,73,4.8,17,5,50,Reprueba
79,79,6.0,34,10,85,Aprueba
72,80,5.9,29,5,76,Aprueba
53,79,7.7,24,5,67,Reprueba
68,99,12.4,34,9,83,Aprueba
55,80,4.0,15,6,71,Aprueba
24,54,1.4,6,3,40,Reprueba
29,62,0.0,12,3,36,Reprueba
70,92,6.7,22,7,75,Aprueba
84,87,7.0,42,9,75,Aprueba
100,95,9.2,51,7,97,Aprueba
55,94,3.8,22,6,69,Reprueba
62,75,9.4,32,4,80,Aprueba
66,82,3.4,28,5,69,Reprueba
69,73,6.4,29,6,69,Reprueba
44,58,0.0,28,6,53,Reprueba
61,65,11.2,39,6,70,Aprueba
96,81,9.1,38,9,90,Aprueba
40,53,0.0,8,2,42,Reprueba
70,87,6.9,40,10,81,Aprueba
68,64,7.5,16,7,77,Aprueba
63,74,4.9,20,6,63,Reprueba
59,64,5.1,25,8,64,Reprueba
57,76,11.2,32,10,76,Aprueba
48,76,8.0,11,4,58,Reprueba
66,82,5.6,17,6,72,Aprueba
46,63,5.6,18,3,56,Reprueba
85,93,5.0,39,10,87,Aprueba
48,63,1.7,0,6,47,Reprueba
65,93,12.2,14,10,94,Aprueba
82,95,7.2,35,9,89,Aprueba
69,79,5.9,19,8,77,Aprueba
60,88,7.9,23,10,78,Aprueba
63,90,9.6,27,6,70,Aprueba
82,67,9.2,29,7,77,Aprueba
38,51,0.0,6,6,48,Reprueba
41,78,5.6,20,5,59,Reprueba
48,69,4.4,52,5,66,Reprueba
71,78,5.6,22,10,94,Aprueba
52,74,2.6,7,3,52,Reprueba
66,70,2.7,14,8,72,Aprueba
26,53,0.0,2,0,31,Reprueba
72,69,5.4,42,5,77,Aprueba
77,79,7.0,36,10,86,Aprueba
49,66,0.0,13,5,52,Reprueba
55,73,3.0,15,3,63,Reprueba
81,100,5.8,49,10,85,Aprueba
59,73,3.3,13,6,69,Reprueba
55,84,5.4,16,6,64,Reprueba
48,78,4.4,22,5,64,Reprueba
75,95,9.3,46,8,92,Aprueba
61,61,3.1,28,6,57,Reprueba
96,100,12.3,51,9,100,Aprueba
91,87,6.6,35,10,94,Aprueba
42,42,1.2,12,6,49,Reprueba
66,74,7.3,34,7,89,Aprueba
72,97,5.2,48,7,95,Aprueba
79,78,7.9,37,8,87,Aprueba
98,93,14.6,55,9,100,Aprueba
66,58,0.0,23,7,62,Reprueba
71,87,3.4,27,9,83,Aprueba
82,91,11.2,49,9,89,Aprueba
77,95,4.5,27,10,78,Aprueba
63,88,6.5,0,6,77,Aprueba
71,85,5.1,13,7,77,Aprueba
49,87,4.3,40,7,71,Aprueba
93,91,10.2,40,10,90,Aprueba
90,94,13.3,48,10,100,Aprueba
69,87,6.0,36,8,79,Aprueba
71,82,1.5,18,7,70,Aprueba
54,79,3.8,21,5,64,Reprueba
90,100,13.2,59,10,99,Aprueba
56,79,0.0,35,6,65,Reprueba
32,62,0.0,0,4,44,Reprueba
62,81,3.4,0,8,63,Reprueba
63,93,8.4,14,7,66,Reprueba
83,88,8.3,27,7,94,Aprueba
76,83,5.3,49,10,87,Aprueba
58,86,7.9,20,6,64,Reprueba
53,71,4.9,18,6,67,Reprueba
82,87,9.8,25,9,80,Aprueba
95,95,16.1,52,10,100,Aprueba
61,65,9.2,31,7,68,Reprueba
80,92,6.2,41,9,80,Aprueba
80,64,8.0,44,8,82,Aprueba
74,76,4.5,12,7,74,Aprueba
51,88,8.0,31,7,71,Aprueba
58,88,6.1,24,9,68,Reprueba
59,72,7.3,18,6,64,Reprueba
68,94,7.0,38,9,84,Aprueba
50,70,6.3,22,4,67,Reprueba
